Vegetable Category;Vegetable;10.11.2020;17.11.2020;24.11.2020;01.12.2020;08.12.2020;15.12.2020;22.12.2020;29.12.2020;05.01.2021;12.01.2021;19.01.2021;26.01.2021;02.02.2021;09.02.2021;16.02.2021;23.02.2021;02.03.2021;09.03.2021;16.03.2021;23.03.2021;30.03.2021;06.04.2021;13.04.2021;20.04.2021;27.04.2021;04.05.2021;11.05.2021;18.05.2021;25.05.2021;01.06.2021;08.06.2021;15.06.2021;22.06.2021;29.06.2021;06.07.2021;13.07.2021;20.07.2021;27.07.2021;03.08.2021;10.08.2021;17.08.2021;24.08.2021;31.08.2021;07.09.2021;14.09.2021;21.09.2021;28.09.2021;05.10.2021;12.10.2021;19.10.2021;26.10.2021;02.11.2021;09.11.2021;16.11.2021;23.11.2021;30.11.2021;07.12.2021;14.12.2021;21.12.2021;28.12.2021;;Total;Average
Herbs;Corriander;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;;;;;;;;;;;51;;;;37;;41;;;;;;;;;234;47
Herbs;Parsley;;;42;36;;;;;;;;;;;;;;;;;;;;45;;29;;;;;;;20;;;;48;;;;;;;;;;;;;;;58;;;;;;;;;;278;40
Herbs;Thyme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;29;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;162;54
Herbs;Wild Garlic;;;;;;;;;;;;;;;;;;;;95;;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;192;96
Herbs;Bohnenkraut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;22;;;;;;;;;;;;;;;;;;;;;;;;56;28
Herbs;Chives;;;;;;;;;;;;;;;;;;;;;;41;46;;22;;;;;;;;;21;;16;;19;;;17;;22;17;;20;;;;18;;;;;;;;;;;;259;24
Herbs;Mint;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;22;22
Herbs;Sage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!
Herbs;Mönchsbart;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;71
Herbs;Dill;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122;61
Onions;Red Onion;;;;;;;;;;529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;599;;;;;;;;;;504;;;;;;;;1632;544
Onions;Yellow Onion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;463;;;;;;;;;;;;;;;;;
Onions;Garlic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;140;140
Onions;White Onion;;;;;;529;;;;;;;;485;;433;;;358;;1133;;;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;;;;;;;;;;3091;515
Onions;Springonion;;;;;;;;;;;;;;;;;;;;;;;;183;;188;;;;234;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;815;204
Chili;Chili;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;
Artichokes;Artichokes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;184;;;;;;;;;;;;;;;;;;;;;;
Strawberry;Strawberry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;250
Walnuts;Walnuts;;;;;266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;266;266
Rhubarb;Rhubarb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!
SUM TOTAL;;6104;6365;5659;4940;5490;6326;5045;;;7954;;9336;;7229;;8994;;4571;6080;6491;5945;3755;4587;4026;4617;5046;6742;;;5123;4933;4866;4751;5796;4567;6371;5648;5176;;;4680;4410;4488;5390;5134;5163;4575;5600;;5387;3825;4147;3512;3892;0;0;0;0;0;0;;232736;5449
